section	id	user_id/pay_status	refund_status/balance	amount/total_recharge	detail
order	1	21/0	0	10.10	F0226080101O01
order	4	21/1	1	40.40	F0226080101O04
order	5	22/1	0	50.50	F0226080101O05
order	6	21/1	1	60.60	F0226080101O06
order	7	23/1	0	70.70	F0226080101O07
order	8	22/1	1	80.80	F0226080101O08
member	21	-	439.40	439.40	balance=439.40
member	22	-	5.00	100.00	balance=5.00
member	23	-	200.00	200.00	balance=200.00
record	1	21	0	40.40	order_id=4
record	3	21	2	60.60	order_id=6
record	2	22	2	80.80	order_id=8
log	1	21	0	40.40	record_id=1
log	3	21	2	60.60	record_id=3
log	2	22	2	80.80	record_id=2
balance_log	10	21	101/2	60.60	left=439.40;source_sn=F0226080101O06
